epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,190.408,1.30273,2.18189,1.37802,0.78235,0.59867,0.64923,0.41602,1.23967,1.41595,1.43958,0.000138829,0.000138829,0.000138829
2,374.324,1.20239,1.14842,1.30338,0.78151,0.69612,0.73113,0.47838,1.2016,1.16315,1.40629,0.000268661,0.000268661,0.000268661
3,553.892,1.16916,0.99546,1.28046,0.81049,0.71563,0.77145,0.49574,1.21714,1.05869,1.39932,0.000389318,0.000389318,0.000389318
4,733.365,1.15123,0.90479,1.27054,0.81445,0.75816,0.7976,0.52522,1.14798,0.9943,1.37377,0.000375717,0.000375717,0.000375717
5,912.489,1.11928,0.82613,1.24568,0.83086,0.76448,0.81101,0.54349,1.12543,0.90741,1.33583,0.000361956,0.000361956,0.000361956
6,1091.29,1.10284,0.7843,1.24077,0.82795,0.78447,0.83102,0.56054,1.12126,0.89672,1.31973,0.000348195,0.000348195,0.000348195
7,1271.14,1.08034,0.74231,1.22257,0.8299,0.79917,0.84504,0.57314,1.10483,0.85057,1.31023,0.000334434,0.000334434,0.000334434
8,1450.41,1.08121,0.72612,1.22844,0.8414,0.79287,0.84958,0.58138,1.08246,0.80817,1.3,0.000320673,0.000320673,0.000320673
9,1629.49,1.06853,0.69885,1.21337,0.85097,0.81743,0.86564,0.59146,1.09412,0.77715,1.30282,0.000306912,0.000306912,0.000306912
10,1808.3,1.05378,0.67879,1.20539,0.86742,0.80917,0.86319,0.5971,1.0751,0.75698,1.2827,0.000293151,0.000293151,0.000293151
11,1987.65,1.04337,0.66197,1.19717,0.83498,0.82694,0.84239,0.59171,1.06912,0.74487,1.28789,0.00027939,0.00027939,0.00027939
12,2166.36,1.03945,0.65072,1.19776,0.85286,0.8365,0.87135,0.60625,1.05979,0.74234,1.27803,0.000265629,0.000265629,0.000265629
13,2344.8,1.02934,0.63758,1.18914,0.87896,0.83282,0.8829,0.61171,1.05983,0.72042,1.27342,0.000251868,0.000251868,0.000251868
14,2523.32,1.03006,0.62985,1.19292,0.8678,0.84415,0.88638,0.62313,1.05093,0.70507,1.27693,0.000238107,0.000238107,0.000238107
15,2701.73,1.01805,0.62301,1.18595,0.88177,0.83965,0.89395,0.62517,1.04892,0.67301,1.26695,0.000224346,0.000224346,0.000224346
16,2882.07,1.00966,0.60712,1.18086,0.88122,0.83703,0.88546,0.62553,1.03037,0.67895,1.25875,0.000210585,0.000210585,0.000210585
17,3060.13,1.00451,0.60248,1.17634,0.87739,0.84535,0.88646,0.62982,1.03472,0.67442,1.25858,0.000196824,0.000196824,0.000196824
18,3239.37,0.99508,0.59239,1.16958,0.88746,0.84155,0.89229,0.63084,1.03586,0.67249,1.2578,0.000183063,0.000183063,0.000183063
19,3418.58,0.98983,0.58326,1.16898,0.88153,0.85769,0.89626,0.64237,1.02152,0.64063,1.24687,0.000169302,0.000169302,0.000169302
20,3597.56,0.9876,0.5743,1.16384,0.88836,0.85426,0.89948,0.64344,1.02149,0.65107,1.25085,0.000155541,0.000155541,0.000155541
21,3794.29,0.95615,0.49587,1.16742,0.89265,0.85503,0.89846,0.64128,1.02201,0.64338,1.24593,0.00014178,0.00014178,0.00014178
22,3970.37,0.94353,0.48372,1.16023,0.87964,0.86547,0.90243,0.6432,1.01304,0.63199,1.24289,0.000128019,0.000128019,0.000128019
23,4147.38,0.93461,0.47326,1.15518,0.89076,0.86216,0.90426,0.65023,1.00749,0.61792,1.23896,0.000114258,0.000114258,0.000114258
24,4323.95,0.92376,0.46222,1.14679,0.89367,0.86725,0.90878,0.65747,0.99824,0.59928,1.23414,0.000100497,0.000100497,0.000100497
25,4500.26,0.91441,0.45468,1.14119,0.88905,0.87496,0.91227,0.66314,0.98763,0.59998,1.22242,8.6736e-05,8.6736e-05,8.6736e-05
26,4676.2,0.91117,0.45158,1.14064,0.89442,0.86837,0.90765,0.65952,0.98992,0.59927,1.22504,7.2975e-05,7.2975e-05,7.2975e-05
27,4853.16,0.90452,0.44239,1.13327,0.8853,0.88526,0.9145,0.66458,0.98703,0.59708,1.21655,5.9214e-05,5.9214e-05,5.9214e-05
28,5030.03,0.89769,0.43806,1.12819,0.89415,0.87444,0.91448,0.66609,0.98861,0.59151,1.21563,4.5453e-05,4.5453e-05,4.5453e-05
29,5205.97,0.8894,0.43046,1.12266,0.88992,0.87927,0.91378,0.66624,0.98357,0.59308,1.21516,3.1692e-05,3.1692e-05,3.1692e-05
30,5384.55,0.88302,0.42867,1.12038,0.89724,0.87674,0.91541,0.66672,0.98099,0.58702,1.21439,1.7931e-05,1.7931e-05,1.7931e-05
